threshold,pct_screened,sensitivity
0.2,59.09090909090909,0.97
0.25,56.060606060606055,0.96
0.3,54.166666666666664,0.96
0.35,50.75757575757576,0.95
0.4,48.86363636363637,0.94
0.5,40.909090909090914,0.83
